Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos,comp
These people are true fascists. We need to dismantle this apartheid atrocity.,,,0.123,0.685,0.192,0.25
"They are not soldiers, they are EXTREMIST and EVILDOERS ",,,0.341,0.659,0.0,-0.6289
"All dogs have their eyes on the $500 billion worth of gas, and everyone is eager for their share.",,,0.0,0.708,0.292,0.6808
Pray for palestine ,,,0.0,0.465,0.535,0.3182
Pray for palestine ,,,0.0,0.465,0.535,0.3182
Palestine must be freed,,,0.0,0.526,0.474,0.4019
Bullshit. Completely fake.,,,0.878,0.122,0.0,-0.8016
"Not Israeli soldiers, not wearing standard or specialized issued IDF boots, Guess you forgot that little detail while producing the video.",,,0.0,1.0,0.0,0.0
Busted!! #Pallywood Take number #47373  IDF soldiers with sport shoes and AliExpress vest ,,,0.0,0.864,0.136,0.2225
Free Palestine,,,0.0,0.233,0.767,0.5106
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",,,0.291,0.709,0.0,-0.9436
"It's important for Americans to pay attention to events like this one - not just in Israel and the West Bank, but around the world. Foreign policy and international affairs can have a big impact on American lives and our economy, whether it's through trade, immigration, nationalâ¦",,,0.026,0.906,0.068,0.2382
IDF Soldiers laughing About Murdering the people of Gaza. *All the Detergent in the World cant make you Clean!*,,,0.185,0.686,0.129,-0.3382
Itâs kinda like this video:,,,0.0,0.644,0.356,0.2975
 An eye for an eye makes both sides blind. This will never end.,,,0.184,0.816,0.0,-0.4019
The Hindutva gang members in India using Diwali festival crackers video of Delhi to equate and celebrate like that of Israel bombing of Gaza. twitter.com/SudarshanNewsTâ¦,,,0.0,0.701,0.299,0.8555
Donât care ,,,0.0,0.238,0.762,0.4939
 An eye for an eye makes both sides blind. This will never end.,,,0.184,0.816,0.0,-0.4019
Liars.,,,1.0,0.0,0.0,-0.5267
"Hamas brutally beat Gaza civilians who were tired of getting food from humanitarian aid trucks.  Hamas took the goods for itself.  This is a strong attack on humanity, kindness and charity, which I strongly condemn.

Via- kann_news",,,0.248,0.531,0.22,-0.34
I seriously donât know how anyone can defend these people..,,,0.175,0.825,0.0,-0.1779
They don't even care that they are being filmed,,,0.247,0.753,0.0,-0.3875
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,,0.13,0.772,0.097,-0.4199
This is textbook terrorism,,,0.605,0.395,0.0,-0.6808
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,,,0.223,0.777,0.0,-0.8168
So twisted and sickening,,,0.55,0.45,0.0,-0.5667
"Serious, how are they not considered a terrorist state and organization at this point?",,,0.081,0.686,0.233,0.5327
"Honestly, looks a lot like US policing.",,,0.0,0.421,0.579,0.6705
This is Nazi Germany written all over it.,,,0.0,1.0,0.0,0.0
I seriously donât know how anyone can defend these people..,,,0.175,0.825,0.0,-0.1779
They don't even care that they are being filmed,,,0.247,0.753,0.0,-0.3875
"They just keep showing their true nature. Just like a brother said, ""I need to be more religious, as there is no way I am spending eternity in Hell with Israeli's."" May Allah unveil & awaken our hearts, minds, ears & eyes, so we turn to Him. Before Dajjals arrival!",,,0.13,0.772,0.097,-0.4199
This is textbook terrorism,,,0.605,0.395,0.0,-0.6808
His cries for his mom and dad itâs so horrible! This whole country must be dismantled. The beginning of the end theyâre trying to make their final blow.,,,0.223,0.777,0.0,-0.8168
So twisted and sickening,,,0.55,0.45,0.0,-0.5667
"Serious, how are they not considered a terrorist state and organization at this point?",,,0.081,0.686,0.233,0.5327
"Honestly, looks a lot like US policing.",,,0.0,0.421,0.579,0.6705
This is Nazi Germany written all over it.,,,0.0,1.0,0.0,0.0
choosen people by shaytan,,,0.0,1.0,0.0,0.0
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,,0.0,0.928,0.072,0.3612
Isrheil criminels de guerre !,,,0.0,1.0,0.0,0.0
Zionists,,,0.0,1.0,0.0,0.0
"If we had iPhones & body cams in occupied Europe of the 1940s I wonder how similar these scenes would be; when the Gestapo came for Anne Frank's family, is this what it looked like?",,,0.0,0.928,0.072,0.3612
Isrheil criminels de guerre !,,,0.0,1.0,0.0,0.0
The real terorist,,,0.0,1.0,0.0,0.0
#IsraelTerorrist,,,0.0,1.0,0.0,0.0
Did occupiers give the children two bottle of water for propaganda?,,,0.167,0.833,0.0,-0.25
How are the israelis are the âchosen peopleâ again?,,,0.0,1.0,0.0,0.0
"I am glad I could never get used to this. When I was younger I got desensitized with violence, but people can attain humanity if they work for it. We should never let go of our humanity and never forget.",,,0.064,0.834,0.101,0.1152
True evil on the loose,,,0.583,0.174,0.243,-0.5994
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,,0.0,0.773,0.227,0.8439
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",,,0.133,0.559,0.308,0.471
"Hello any Human there.....,,,,,,,,,,,,,,
Savages ,,,,,,,,,,,,,,
I am glad I could never get used to this. When I was younger I got desensitized with violence"," but people can attain humanity if they work for it. We should never let go of our humanity and never forget.""",,0.263,0.632,0.105,-0.6705
True evil on the loose,,,0.583,0.174,0.243,-0.5994
Why canât the palestinians seeing the incident grab whatever can and rushed to the rescue of a fellow friend!I am watching too much hollywood movie and expect can happen like in the movie .. haha.,,,0.0,0.773,0.227,0.8439
"Lol, they didn't even bother faking a Hebrew accent  this is as real as your entire fake narrative",,,0.133,0.559,0.308,0.471
Savages ,,,1.0,0.0,0.0,-0.5267
Chosen people ,,,0.0,1.0,0.0,0.0
Butchers,,,0.0,1.0,0.0,0.0
From the river to the sea Palestine will be free! ,,,0.0,0.715,0.285,0.5562
"God is Sufficient for us, and He is the Best Trustee, the Best Helper, the Best Master, and the Best to rely upon. Khaybar, Khaybar, O Jews, the army of Muhammad will return, Allah is the Greatest, Allah is the Greatest, Allah is the Greatest.",,,0.0,0.486,0.514,0.989
And people are still asking why Al Aqsa Flood happened.,,,0.0,1.0,0.0,0.0
Oh my god,,,0.0,0.488,0.512,0.2732
Restore the State of Palestine!,,,0.0,0.616,0.384,0.3595
Boycott Netflix,,,0.697,0.303,0.0,-0.3182
Former US marineâs pro-Palestine interview resurfaces online,,,0.0,1.0,0.0,0.0
barbarians,,,0.0,1.0,0.0,0.0
If none of you know this is how hamas was created,,,0.0,0.833,0.167,0.25
Is that soldier wearing sneakers?,,,0.0,1.0,0.0,0.0
#IsraelTerrorism,,,0.0,1.0,0.0,0.0
Another proof,,,0.0,1.0,0.0,0.0
Once again we will repeat it never enough without their weapons they are nothing we saw it well in 1942,,,0.0,0.8,0.2,0.5432
This is what happens to the Palestinians that are supposedly Free,,,0.0,0.752,0.248,0.5106
In front of his children ,,,0.0,1.0,0.0,0.0
If none of you know this is how hamas was created,,,0.0,0.833,0.167,0.25
Is that soldier wearing sneakers?,,,0.0,1.0,0.0,0.0
#IsraelTerrorism,,,0.0,1.0,0.0,0.0
The IDF is a terrorist organization! That is all,,,0.416,0.584,0.0,-0.7177
